race_id,series_id,race_season,race_name,race_type_id,restrictor_plate,track_id,track_name,date_scheduled,race_date,qualifying_date,tunein_date,scheduled_distance,actual_distance,scheduled_laps,actual_laps,stage_1_laps,stage_2_laps,stage_3_laps,number_of_cars_in_field,pole_winner_driver_id,pole_winner_speed,number_of_lead_changes,number_of_leaders,number_of_cautions,number_of_caution_laps,average_speed,total_race_time,margin_of_victory,race_purse,attendance,radio_broadcaster,television_broadcaster,master_race_id,inspection_complete,playoff_round,is_qualifying_race,qualifying_race_no,qualifying_race_id,has_qualifying,winner_driver_id,pole_winner_laptime
4536,2,2016,Lilly Diabetes 250,1,0,123,Indianapolis Motor Speedway,2016-07-23T15:30:00,2016-07-23T15:30:00,2016-07-23T00:00:00,,250.0,157.5,100,63,,,,40,454,181.939,2,2,2,10,136.298,01:09:20,,0,0,IMS,NBCSN,4074,,,,,,,,
4531,2,2016,Menards 250 presented by Valvoline,1,0,133,Michigan International Speedway,2016-06-11T13:30:00,2016-06-11T13:30:00,2016-06-11T00:00:00,,250.0,250.0,125,125,,,,40,4045,191.586,11,7,3,14,155.952,01:36:11,,0,0,MRN,FS1,2450,,,,,,,,
4535,2,2016,AutoLotto 200 ,1,0,138,New Hampshire Motor Speedway,2016-07-16T16:00:00,2016-07-16T16:00:00,2016-07-16T00:00:00,,211.6,211.6,200,200,,,,40,454,130.792,3,3,7,37,98.789,02:08:31,,0,0,PRN,NBCSN,2395,,,,,,,,
4538,2,2016,Zippo 200 at The Glen,1,0,157,Watkins Glen International,2016-08-06T14:00:00,2016-08-06T14:00:00,2016-08-05T00:00:00,,200.9,200.9,82,82,,,,40,3859,124.552,8,5,6,18,87.496,02:17:46,,0,0,MRN,CNBC,2530,,,,,,,,
4547,2,2016,Blue Cross Blue Shield of North Carolina Drive for the Cure 300,1,0,162,Charlotte Motor Speedway,2016-10-07T20:00:00,2016-10-09T16:30:00,2016-10-07T00:00:00,,300.0,300.0,200,200,,,,40,0,0.0,12,5,4,19,143.56,02:05:23,,0,0,PRN,NBCSN,2157,,,,,,,,
4529,2,2016,Hisense 4K TV 300,1,0,162,Charlotte Motor Speedway,2016-05-28T14:30:00,2016-05-28T14:30:00,2016-05-28T00:00:00,,300.0,309.0,200,206,,,,40,4059,184.546,21,10,8,54,114.515,02:41:54,,0,0,PRN,FS1,2143,,,,,,,,
4532,2,2016,Pocono Green 250,1,0,198,Pocono Raceway,2016-06-04T13:00:00,2016-06-04T13:00:00,2016-06-04T00:00:00,,250.0,132.5,100,53,,,,40,4059,175.926,6,5,5,14,118.421,01:07:08,,0,0,MRN,FOX,4532,,,,,,,,
4528,2,2016,American Ethanol E15 250 presented by Enogen,1,0,206,Iowa Speedway,2016-06-19T13:30:00,2016-06-19T13:30:00,2016-06-18T00:00:00,,218.75,218.75,250,250,,,,40,4059,135.752,10,4,6,33,102.659,02:07:51,,0,0,MRN,FS1,3961,,,,,,,,
4537,2,2016,US Cellular 250,1,0,206,Iowa Speedway,2016-07-30T20:00:00,2016-07-30T20:00:00,2016-07-30T00:00:00,,218.75,218.75,250,250,,,,40,4113,132.811,7,4,6,29,104.401,02:05:43,,0,0,MRN,NBCSN,3713,,,,,,,,
4565,3,2016,UNOH 200,1,0,14,Bristol Motor Speedway,2016-08-17T20:30:00,2016-08-17T20:30:00,2016-08-17T00:00:00,,106.6,106.6,200,200,,,,32,4065,128.917,7,5,9,55,74.387,01:25:59,,0,0,MRN,FS1,3105,,,,,,,,
