vehicle_number,driver_name,vehicle_manufacturer,leader_lap,lap_count,pit_in_flag_status,pit_out_flag_status,pit_in_race_time,pit_out_race_time,total_duration,box_stop_race_time,box_leave_race_time,pit_stop_duration,in_travel_duration,out_travel_duration,pit_stop_type,left_front_tire_changed,left_rear_tire_changed,right_front_tire_changed,right_rear_tire_changed,previous_lap_time,next_lap_time,pit_in_rank,pit_out_rank,positions_gained_lost,race_id
62,* Anthony Alfredo(i),Chv,44,43,1,1,2147.954,2176.346,28.392,2162.036,2167.096,5.06,14.082,9.25,OTHER,False,False,False,False,0,0,14,15,-1,5545
48,Alex Bowman,Chv,44,43,1,1,2148.213,2175.634,27.421,2156.036,2160.216,4.18,7.823,15.418,OTHER,False,False,False,False,0,0,15,13,2,5545
43,Erik Jones,Tyt,44,43,1,1,2148.423,2176.775,28.352,2164.816,2169.956,5.14,16.393,6.819,OTHER,False,False,False,False,0,0,16,16,0,5545
20,Christopher Bell,Tyt,44,43,1,1,2148.749,2179.447,30.698,2159.396,2164.416,5.02,10.647,15.031,OTHER,False,False,False,False,0,0,17,20,-3,5545
35,Riley Herbst #,Tyt,44,43,1,1,2148.763,2178.242,29.479,2165.196,2170.676,5.48,16.433,7.566,OTHER,False,False,False,False,0,0,18,17,1,5545
88,Shane Van Gisbergen #,Chv,44,43,1,1,2149.011,2175.74,26.729,2167.876,2171.596,3.72,18.865,4.144,OTHER,False,False,False,False,0,0,19,14,5,5545
42,John Hunter Nemechek,Tyt,44,43,1,1,2149.289,2178.461,29.172,2164.656,2169.976,5.32,15.367,8.485,OTHER,False,False,False,False,0,0,20,18,2,5545
78,* BJ McLeod,Chv,44,43,1,1,2149.905,2180.135,30.23,2154.956,2161.896,6.94,5.051,18.239,OTHER,False,False,False,False,0,0,21,21,0,5545
12,Ryan Blaney,Frd,44,44,1,1,2193.862,2221.308,27.446,2202.416,2206.936,4.52,8.554,14.372,OTHER,False,False,False,False,0,0,5,8,-3,5545
22,Joey Logano,Frd,44,44,1,1,2194.103,2220.344,26.241,2200.056,2203.236,3.18,5.953,17.108,OTHER,False,False,False,False,0,0,6,6,0,5545
2,Austin Cindric,Frd,44,44,1,1,2194.435,2219.861,25.426,2213.716,2216.636,2.92,19.281,3.225,OTHER,False,False,False,False,0,0,7,5,2,5545
4,Noah Gragson,Frd,44,44,1,1,2194.6,2222.306,27.706,2204.556,2209.236,4.68,9.956,13.07,OTHER,False,False,False,False,0,0,8,9,-1,5545
01,* Corey LaJoie,Frd,45,44,1,1,2194.949,2220.876,25.927,2199.276,2202.836,3.56,4.327,18.04,OTHER,False,False,False,False,0,0,9,7,2,5545
34,Todd Gilliland,Frd,45,44,1,1,2195.3,2222.818,27.518,2208.116,2211.896,3.78,12.816,10.922,OTHER,False,False,False,False,0,0,10,10,0,5545
6,Brad Keselowski,Frd,45,45,1,1,2241.749,2266.926,25.177,2259.676,2261.976,2.3,17.927,4.95,OTHER,False,False,False,False,0,0,1,2,-1,5545
6,Brad Keselowski,Frd,45,45,1,1,2241.749,2266.926,25.177,2259.676,2261.976,2.3,17.927,4.95,OTHER,False,False,False,False,0,0,1,2,-1,5545
17,Chris Buescher,Frd,45,45,1,1,2242.213,2266.862,24.649,2253.116,2255.096,1.98,10.903,11.766,OTHER,False,False,False,False,0,0,2,1,1,5545
41,Cole Custer,Frd,45,45,1,1,2242.557,2268.929,26.372,2259.196,2262.756,3.56,16.639,6.173,OTHER,False,False,False,False,0,0,3,3,0,5545
51,Cody Ware,Frd,45,45,1,1,2243.4,2271.026,27.626,2248.636,2253.076,4.44,5.236,17.95,OTHER,False,False,False,False,0,0,4,4,0,5545
6,Brad Keselowski,Frd,48,47,2,2,2410.437,2640.227,229.79,2434.176,2633.996,199.82,23.739,6.231,TWO_WHEEL_CHANGE_RIGHT,False,False,True,True,0,0,19,20,-1,5545
78,* BJ McLeod,Chv,50,50,2,2,2754.256,2821.672,67.416,2759.696,2801.496,41.8,5.44,20.176,FOUR_WHEEL_CHANGE,True,True,True,True,0,0,15,19,-4,5545
84,* Jimmie Johnson,Tyt,50,50,2,2,2754.634,2790.836,36.202,2763.876,2776.596,12.72,9.242,14.24,FOUR_WHEEL_CHANGE,True,True,True,True,0,0,16,18,-2,5545
