race_id,start_lap,end_lap,reason,comment,beneficiary_car_number,flag_state
5447,48,50,Accident,"Nos. 29, 31, 42, 43, 44 Incident Turn 1",None,2
5447,70,74,Unknown,No. 35 mechanical backstretch,29,2
5447,76,78,Accident,"Nos. 14, 51 Incident Turn 2",98,2
5447,84,86,Accident,"No. 1, 97 Incident Turn 2",2,2
5450,2,7,Accident,"#1, 15, 8, 2, 16, 51, 31, 26, 27, 28, 19, 81 Incident Turn 3",None,2
5450,18,20,Unknown,#81 Slow on Backstretch,None,2
5450,32,34,Competition,Stage 1 Conclusion,None,2
5450,56,59,Unknown,Possible Fluid From #44,81,2
5450,62,65,Competition,Stage 2 Conclusion,44,2
5450,68,71,Accident,"#20, 21 Incident Turn 2",81,2
5450,85,89,Accident,"#11, 5, 31, 10 Incident Backstretch",45,2
5449,16,18,Spin,#19 Spin Turn 2,None,2
5449,25,27,Spin,#18 Spin Turn 4,8,2
5449,32,36,Weather,Stage 1 Conclusion / Weather (Red Flag: 00:09:41),None,2
5449,38,41,Accident,"#21, 88 Incident Turn 3",None,2
5449,50,54,Accident,"#9, 00, 98, 1, 39 Incident Turn 3",None,2
5449,62,64,Competition,Stage 2 Conclusion,None,2
5449,67,71,Accident,"#10, 15, 27 Incident Turn 2",None,2
5449,117,126,Weather,Weather (Red Flag: 00:14:10),97,2
5449,128,128,Accident,"#81, 28, 88 Incident Backstretch",None,2
5452,2,9,Accident,"#21, 43, 14, 51, 35, 29, 15, 26, 7 Incident Turn 3",None,2
5452,32,36,Competition,Stage 1 Conclusion,None,2
5452,60,65,Accident,"#1, 2, 5 Incident Turn 4 / Stage 2 Conclusion",00,2
5452,70,73,Spin,#9 Spin Backstretch,21,2
5452,78,82,Accident,"#2, 00, 27, 31, 8, 9, 38, 45, 28 Incident Frontstretch",21,2
5452,96,100,Accident,"#26, 51, 45, 92, 5, 97 Incident Turn 4 [Red Flag: 00:12:12]",8,2
5452,102,102,Accident,"#16, 51 Incident Turn 1",None,2
5453,6,8,Unknown,#31 Stalled on Track,None,2
5453,31,35,Debris,Debris turns 3-4,51,2
5453,46,52,Accident,"#9, 97 incident backstretch / Stage 1 Conclusion",07,2
5453,54,57,Accident,#91 incident turn 3,5,2
5453,92,96,Competition,Stage 2 Conclusion,35,2
5453,144,148,Accident,#16 incident turn 1,35,2
5445,13,16,Unknown,#39 Stopped on Track,None,2
5445,42,47,Competition,Stage 1 Conclusion,5,2
5445,79,87,Competition,Stage 2 Conclusion / #1 Stopped on Track,39,2
5445,99,104,Accident,#97 Incident Turn 4,39,2
5445,110,115,Debris,Debris on track,07,2
5445,146,150,Accident,"#39, 19, 7, 00, 98, 2 Incident Turn 4 [Red Flag - 15:43]",27,2
5451,22,24,Competition,Stage 1 Conclusion,32,2
5451,42,44,Competition,Stage 2 Conclusion,91,2
5451,47,49,Unknown,#7 Stopped On Track Turn 6,8,2
5451,78,80,Unknown,#38 Stalled On Track ,None,2
5451,82,83,Accident,"#21, 5, 11, 15 Incident Turn 1 [Red Flag: 00:22:27]",7,2
5451,85,88,Accident,"#9, 87 Incident Inner Loop",42,2
5451,90,90,Accident,"#98, 26, 44, 39 Incident Backstretch",None,2
5455,4,9,Debris,Debris,None,2
5455,53,65,Accident,"#32, 7, 31 incident turn 2",None,2
5455,87,95,Competition,Stage 1 Conclusion,43,2
5455,121,126,Spin,#48 spin turn 2,97,2
5455,154,161,Accident,#7. 18 incident backstretch,15,2
5455,172,179,Competition,Stage 2 Conclusion,29,2
5455,200,206,Spin,#7 spin turn 2,26,2
5462,7,12,Accident,"#15, 71, 42, 9, 46, 88, 33, 25, 27, 13, 52, 38, 2 Incident Backstretch",None,2
5462,17,19,Accident,"#33, 27 Incident Turn 2",15,2
5462,22,26,Competition,Stage 1 Conclusion,52,2
5462,33,37,Debris,Debris Turn 3,27,2
5462,40,44,Weather,Weather / Stage 2 Conclusion [Red Flag: 00:07:10],27,2
5462,48,51,Accident,#27 Incident Turn 4,None,2
5462,58,61,Accident,"#32, 41 Incident Frontstretch",None,2
5462,74,77,Accident,"#99, 15, 1 Incident Turn 4",None,2
5462,80,84,Accident,"#19, 45, 75, 7 Incident Turn 4",41,2
5462,87,91,Accident,"#5, 1 Incident Turn 4",19,2
5462,95,99,Accident,"#77, 18, 19 Incident Backstretch",5,2
5462,101,101,Accident,"#71, 7, 43, 5, 17, 87, 97, 88, 52, 43, 04, 9 Incident Backstretch",None,2
5464,17,21,Spin,#22 Spin Turn 3,None,2
5464,32,36,Competition,Stage 1 Conclusion,22,2
5464,50,54,Accident,"#13, 38, 43, 46 Incident Turn 3",22,2
5464,60,66,Accident,"#32, 91 Incident Frontstretch / Stage 2 Conclusion",25,2
5464,80,85,Debris,Debris Frontstretch,25,2
5464,95,99,Debris,Debris Turn 4,1,2
5464,101,104,Debris,Debris Frontstretch,99,2
5463,4,7,Accident,#41 incident backstretch,None,2
5463,32,36,Competition,Stage 1 Conclusion,22,2
5463,62,66,Competition,Stage 2 Conclusion,22,2
5463,68,72,Accident,#5 incident turn 4,46,2
5467,7,12,Spin,No. 42 Spin Frontstretch,None,2
5467,45,52,Accident,"No. 22, 17, 75 Incident Backstretch",None,2
5467,67,76,Competition,Stage 1 Conclusion,75,2
5467,132,142,Competition,Stage 2 Conclusion,66,2
5467,145,152,Accident,"No. 98, 99, 18, 25, 32, 46, 18 Incident Backstretch",25,2
5467,220,226,Accident,"No. 52, 2 Incident Frontstretch",99,2
5465,4,5,Debris,Debris (backstretch),None,2
5465,14,14,Competition,Stage 1 Conclusion,7,2
5465,23,24,Unknown,#33 Stopped on Track,04,2
5465,28,28,Competition,Stage 2 Conclusion,33,2
5465,39,39,Unknown,#33 Stopped on Track,None,2
5465,42,44,Debris,Debris (Turn 11) [Red Flag - 4:35],38,2
5468,31,36,Spin,No. 46 Spin Turn 3,32,2
5468,52,60,Competition,Stage 1 Conclusion,02,2
5468,66,73,Accident,"Nos. 15, 88, 02, 90 Incident Turn 2",90,2
5468,77,83,Accident,"Nos. 38, 91 Incident Turn 2",46,2
5468,99,109,Accident,"Nos. 38, 43, 76 Incident Turn 1 / Stage 2 Conclusion",22,2
5468,135,140,Accident,"Nos. 43, 45 Incident Backstretch",38,2
5468,147,154,Accident,"Nos. 5, 9, 99 Incident Turn 1",22,2
5468,159,164,Accident,"Nos. 45, 32, 90 Incident Turn 1",22,2
5468,166,172,Accident,"Nos. 32, 13, 33, 91, 66, 43 Incident Turn 4",None,2
5468,178,183,Accident,"Nos. 38, 13, 9, 41, 66 Incident Turn 2",None,2
5468,191,197,Accident,"Nos. 52, 42, 9 Incident Turn 2",13,2
